Premise,Implied,Support
Status of Findings / Verification; Threat / Trust Model; Privileged Roles & Centralisation Risks,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Severity Model / Risk Classification; System/Protocol Overview; Testing / Coverage Quality; Tools & Automation,1
Threat / Trust Model; Privileged Roles & Centralisation Risks,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Severity Model / Risk Classification; Status of Findings / Verification; System/Protocol Overview; Testing / Coverage Quality; Tools & Automation,1
Threat / Trust Model; Timeline / Engagement Details,Detailed Findings; Documentation Quality; Executive Summary; Findings Summary (Table); Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Status of Findings / Verification; System/Protocol Overview; Testing / Coverage Quality; Tools & Automation,1
Threat / Trust Model; Upgradeability / Governance Controls,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Severity Model / Risk Classification; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,1
Privileged Roles & Centralisation Risks; Timeline / Engagement Details,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Risk Taxonomy / Terminology & References; Scope; Severity Model / Risk Classification; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation; Upgradeability / Governance Controls,1
Recommendations / Remediation Guidance; Risk Taxonomy / Terminology & References; Upgradeability / Governance Controls,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Privileged Roles & Centralisation Risks; Scope; Severity Model / Risk Classification; Status of Findings / Verification; Testing / Coverage Quality; Timeline / Engagement Details; Tools & Automation,1
Privileged Roles & Centralisation Risks; Upgradeability / Governance Controls,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Risk Taxonomy / Terminology & References; Scope; Severity Model / Risk Classification; Status of Findings / Verification; Testing / Coverage Quality; Timeline / Engagement Details; Tools & Automation,1
Risk Taxonomy / Terminology & References; Upgradeability / Governance Controls,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Privileged Roles & Centralisation Risks; Recommendations / Remediation Guidance; Scope; Severity Model / Risk Classification; Status of Findings / Verification; Testing / Coverage Quality; Timeline / Engagement Details; Tools & Automation,1
System/Protocol Overview; Privileged Roles & Centralisation Risks; Risk Taxonomy / Terminology & References,Detailed Findings; Documentation Quality; Executive Summary; Findings Summary (Table); Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Severity Model / Risk Classification; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,1
Severity Model / Risk Classification; Recommendations / Remediation Guidance; Upgradeability / Governance Controls,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Privileged Roles & Centralisation Risks; Risk Taxonomy / Terminology & References; Scope; Status of Findings / Verification; Testing / Coverage Quality; Timeline / Engagement Details; Tools & Automation,1
Severity Model / Risk Classification; Findings Summary (Table); Privileged Roles & Centralisation Risks,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Risk Taxonomy / Terminology & References; Scope; Status of Findings / Verification; System/Protocol Overview; Testing / Coverage Quality; Tools & Automation,1
Versioning & References; Upgradeability / Governance Controls,Detailed Findings; Documentation Quality; Executive Summary; Findings Summary (Table); Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Privileged Roles & Centralisation Risks; Recommendations / Remediation Guidance; Risk Taxonomy / Terminology & References; Scope; Severity Model / Risk Classification; Status of Findings / Verification; System/Protocol Overview; Testing / Coverage Quality; Threat / Trust Model; Timeline / Engagement Details; Tools & Automation,0
Versioning & References; Timeline / Engagement Details; Documentation Quality,Detailed Findings; Executive Summary; Findings Summary (Table); Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Privileged Roles & Centralisation Risks; Recommendations / Remediation Guidance; Risk Taxonomy / Terminology & References; Scope; Severity Model / Risk Classification; Status of Findings / Verification; System/Protocol Overview; Testing / Coverage Quality; Threat / Trust Model; Tools & Automation; Upgradeability / Governance Controls,0
Versioning & References; Privileged Roles & Centralisation Risks,Detailed Findings; Documentation Quality; Executive Summary; Findings Summary (Table); Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Risk Taxonomy / Terminology & References; Scope; Severity Model / Risk Classification; Status of Findings / Verification; System/Protocol Overview; Testing / Coverage Quality; Threat / Trust Model; Timeline / Engagement Details; Tools & Automation; Upgradeability / Governance Controls,0
Threat / Trust Model; Privileged Roles & Centralisation Risks; Risk Taxonomy / Terminology & References,Detailed Findings; Documentation Quality; Executive Summary; Findings Summary (Table); Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Severity Model / Risk Classification; Status of Findings / Verification; System/Protocol Overview; Testing / Coverage Quality; Timeline / Engagement Details; Tools & Automation; Upgradeability / Governance Controls; Versioning & References,0
Threat / Trust Model; Privileged Roles & Centralisation Risks; Timeline / Engagement Details,Detailed Findings; Documentation Quality; Executive Summary; Findings Summary (Table); Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Risk Taxonomy / Terminology & References; Scope; Severity Model / Risk Classification; Status of Findings / Verification; System/Protocol Overview; Testing / Coverage Quality; Tools & Automation; Upgradeability / Governance Controls; Versioning & References,0
Versioning & References; Detailed Findings; Threat / Trust Model,Documentation Quality; Executive Summary; Findings Summary (Table); Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Privileged Roles & Centralisation Risks; Recommendations / Remediation Guidance; Risk Taxonomy / Terminology & References; Scope; Severity Model / Risk Classification; Status of Findings / Verification; System/Protocol Overview; Testing / Coverage Quality; Timeline / Engagement Details; Tools & Automation; Upgradeability / Governance Controls,0
Versioning & References; Timeline / Engagement Details,Detailed Findings; Documentation Quality; Executive Summary; Findings Summary (Table); Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Privileged Roles & Centralisation Risks; Recommendations / Remediation Guidance; Risk Taxonomy / Terminology & References; Scope; Severity Model / Risk Classification; Status of Findings / Verification; System/Protocol Overview; Testing / Coverage Quality; Threat / Trust Model; Tools & Automation; Upgradeability / Governance Controls,0
Versioning & References; Threat / Trust Model,Detailed Findings; Documentation Quality; Executive Summary; Findings Summary (Table); Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Privileged Roles & Centralisation Risks; Recommendations / Remediation Guidance; Risk Taxonomy / Terminology & References; Scope; Severity Model / Risk Classification; Status of Findings / Verification; System/Protocol Overview; Testing / Coverage Quality; Timeline / Engagement Details; Tools & Automation; Upgradeability / Governance Controls,0
Threat / Trust Model; Privileged Roles & Centralisation Risks; Upgradeability / Governance Controls,Detailed Findings; Documentation Quality; Executive Summary; Findings Summary (Table); Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Risk Taxonomy / Terminology & References; Scope; Severity Model / Risk Classification; Status of Findings / Verification; System/Protocol Overview; Testing / Coverage Quality; Timeline / Engagement Details; Tools & Automation; Versioning & References,0
Versioning & References; Findings Summary (Table); Limitations / Disclaimers / Non-Goals,Detailed Findings; Documentation Quality; Executive Summary; Methodology / Procedure; Privileged Roles & Centralisation Risks; Recommendations / Remediation Guidance; Risk Taxonomy / Terminology & References; Scope; Severity Model / Risk Classification; Status of Findings / Verification; System/Protocol Overview; Testing / Coverage Quality; Threat / Trust Model; Timeline / Engagement Details; Tools & Automation; Upgradeability / Governance Controls,0
Versioning & References; Findings Summary (Table),Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Privileged Roles & Centralisation Risks; Recommendations / Remediation Guidance; Risk Taxonomy / Terminology & References; Scope; Severity Model / Risk Classification; Status of Findings / Verification; System/Protocol Overview; Testing / Coverage Quality; Threat / Trust Model; Timeline / Engagement Details; Tools & Automation; Upgradeability / Governance Controls,0
System/Protocol Overview; Upgradeability / Governance Controls,Detailed Findings; Documentation Quality; Executive Summary; Findings Summary (Table); Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Privileged Roles & Centralisation Risks; Recommendations / Remediation Guidance; Risk Taxonomy / Terminology & References; Scope; Severity Model / Risk Classification; Status of Findings / Verification; Testing / Coverage Quality; Threat / Trust Model; Timeline / Engagement Details; Tools & Automation; Versioning & References,0
Threat / Trust Model; Timeline / Engagement Details; Upgradeability / Governance Controls,Detailed Findings; Documentation Quality; Executive Summary; Findings Summary (Table); Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Privileged Roles & Centralisation Risks; Recommendations / Remediation Guidance; Risk Taxonomy / Terminology & References; Scope; Severity Model / Risk Classification; Status of Findings / Verification; System/Protocol Overview; Testing / Coverage Quality; Tools & Automation; Versioning & References,0
Threat / Trust Model; Risk Taxonomy / Terminology & References; Upgradeability / Governance Controls,Detailed Findings; Documentation Quality; Executive Summary; Findings Summary (Table); Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Privileged Roles & Centralisation Risks; Recommendations / Remediation Guidance; Scope; Severity Model / Risk Classification; Status of Findings / Verification; System/Protocol Overview; Testing / Coverage Quality; Timeline / Engagement Details; Tools & Automation; Versioning & References,0
Threat / Trust Model; Risk Taxonomy / Terminology & References; Timeline / Engagement Details,Detailed Findings; Documentation Quality; Executive Summary; Findings Summary (Table); Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Privileged Roles & Centralisation Risks; Recommendations / Remediation Guidance; Scope; Severity Model / Risk Classification; Status of Findings / Verification; System/Protocol Overview; Testing / Coverage Quality; Tools & Automation; Upgradeability / Governance Controls; Versioning & References,0
Severity Model / Risk Classification; Findings Summary (Table); Upgradeability / Governance Controls,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Privileged Roles & Centralisation Risks; Recommendations / Remediation Guidance; Risk Taxonomy / Terminology & References; Scope; Status of Findings / Verification; System/Protocol Overview; Testing / Coverage Quality; Threat / Trust Model; Timeline / Engagement Details; Tools & Automation; Versioning & References,0
Severity Model / Risk Classification; Findings Summary (Table); Timeline / Engagement Details,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Privileged Roles & Centralisation Risks; Recommendations / Remediation Guidance; Risk Taxonomy / Terminology & References; Scope; Status of Findings / Verification; System/Protocol Overview; Testing / Coverage Quality; Threat / Trust Model; Tools & Automation; Upgradeability / Governance Controls; Versioning & References,0
System/Protocol Overview; Privileged Roles & Centralisation Risks; Timeline / Engagement Details,Detailed Findings; Documentation Quality; Executive Summary; Findings Summary (Table); Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Risk Taxonomy / Terminology & References; Scope; Severity Model / Risk Classification; Status of Findings / Verification; Testing / Coverage Quality; Threat / Trust Model; Tools & Automation; Upgradeability / Governance Controls; Versioning & References,0
Findings Summary (Table); Timeline / Engagement Details; Upgradeability / Governance Controls,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Privileged Roles & Centralisation Risks; Recommendations / Remediation Guidance; Risk Taxonomy / Terminology & References; Scope; Severity Model / Risk Classification; Status of Findings / Verification; System/Protocol Overview; Testing / Coverage Quality; Threat / Trust Model; Tools & Automation; Versioning & References,0
Findings Summary (Table); Risk Taxonomy / Terminology & References; Upgradeability / Governance Controls,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Privileged Roles & Centralisation Risks; Recommendations / Remediation Guidance; Scope; Severity Model / Risk Classification; Status of Findings / Verification; System/Protocol Overview; Testing / Coverage Quality; Threat / Trust Model; Timeline / Engagement Details; Tools & Automation; Versioning & References,0
Findings Summary (Table); Risk Taxonomy / Terminology & References; Timeline / Engagement Details,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Privileged Roles & Centralisation Risks; Recommendations / Remediation Guidance; Scope; Severity Model / Risk Classification; Status of Findings / Verification; System/Protocol Overview; Testing / Coverage Quality; Threat / Trust Model; Tools & Automation; Upgradeability / Governance Controls; Versioning & References,0
Findings Summary (Table); Privileged Roles & Centralisation Risks; Upgradeability / Governance Controls,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Risk Taxonomy / Terminology & References; Scope; Severity Model / Risk Classification; Status of Findings / Verification; System/Protocol Overview; Testing / Coverage Quality; Threat / Trust Model; Timeline / Engagement Details; Tools & Automation; Versioning & References,0
Severity Model / Risk Classification; Threat / Trust Model; Timeline / Engagement Details,Detailed Findings; Documentation Quality; Executive Summary; Findings Summary (Table); Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Privileged Roles & Centralisation Risks; Recommendations / Remediation Guidance; Risk Taxonomy / Terminology & References; Scope; Status of Findings / Verification; System/Protocol Overview; Testing / Coverage Quality; Tools & Automation; Upgradeability / Governance Controls; Versioning & References,0
Findings Summary (Table); Privileged Roles & Centralisation Risks; Timeline / Engagement Details,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Risk Taxonomy / Terminology & References; Scope; Severity Model / Risk Classification; Status of Findings / Verification; System/Protocol Overview; Testing / Coverage Quality; Threat / Trust Model; Tools & Automation; Upgradeability / Governance Controls; Versioning & References,0
Findings Summary (Table); Threat / Trust Model; Upgradeability / Governance Controls,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Privileged Roles & Centralisation Risks; Recommendations / Remediation Guidance; Risk Taxonomy / Terminology & References; Scope; Severity Model / Risk Classification; Status of Findings / Verification; System/Protocol Overview; Testing / Coverage Quality; Timeline / Engagement Details; Tools & Automation; Versioning & References,0
Findings Summary (Table); Threat / Trust Model; Privileged Roles & Centralisation Risks,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Risk Taxonomy / Terminology & References; Scope; Severity Model / Risk Classification; Status of Findings / Verification; System/Protocol Overview; Testing / Coverage Quality; Timeline / Engagement Details; Tools & Automation; Upgradeability / Governance Controls; Versioning & References,0
Recommendations / Remediation Guidance; Threat / Trust Model; Upgradeability / Governance Controls,Detailed Findings; Documentation Quality; Executive Summary; Findings Summary (Table); Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Privileged Roles & Centralisation Risks; Risk Taxonomy / Terminology & References; Scope; Severity Model / Risk Classification; Status of Findings / Verification; System/Protocol Overview; Testing / Coverage Quality; Timeline / Engagement Details; Tools & Automation; Versioning & References,0
