Premise,Implied,Support,Pset,Cset
Versioning & References; Detailed Findings; Testing / Coverage Quality,Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Risk Taxonomy / Terminology & References; Scope; Severity Model / Risk Classification; Status of Findings / Verification; System/Protocol Overview; Tools & Automation,1,"frozenset({'Detailed Findings', 'Versioning & References', 'Testing / Coverage Quality'})","frozenset({'Recommendations / Remediation Guidance', 'Tools & Automation', 'Severity Model / Risk Classification', 'Documentation Quality', 'Methodology / Procedure', 'Executive Summary', 'System/Protocol Overview', 'Risk Taxonomy / Terminology & References', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Status of Findings / Verification'})"
Methodology / Procedure; Threat / Trust Model; Privileged Roles & Centralisation Risks,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Recommendations / Remediation Guidance; Scope; Severity Model / Risk Classification; Status of Findings / Verification; System/Protocol Overview; Testing / Coverage Quality; Tools & Automation,1,"frozenset({'Privileged Roles & Centralisation Risks', 'Threat / Trust Model', 'Methodology / Procedure'})","frozenset({'Recommendations / Remediation Guidance', 'Tools & Automation', 'Severity Model / Risk Classification', 'Documentation Quality', 'Detailed Findings', 'Executive Summary', 'System/Protocol Overview', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
Methodology / Procedure; Threat / Trust Model; Timeline / Engagement Details,Detailed Findings; Documentation Quality; Executive Summary; Findings Summary (Table); Limitations / Disclaimers / Non-Goals; Recommendations / Remediation Guidance; Scope; Status of Findings / Verification; System/Protocol Overview; Testing / Coverage Quality; Tools & Automation,1,"frozenset({'Timeline / Engagement Details', 'Threat / Trust Model', 'Methodology / Procedure'})","frozenset({'Recommendations / Remediation Guidance', 'Tools & Automation', 'Documentation Quality', 'Detailed Findings', 'Findings Summary (Table)', 'Executive Summary', 'System/Protocol Overview', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
Versioning & References; Detailed Findings; Status of Findings / Verification,Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Risk Taxonomy / Terminology & References; Scope; Severity Model / Risk Classification; System/Protocol Overview; Testing / Coverage Quality; Tools & Automation,1,"frozenset({'Detailed Findings', 'Versioning & References', 'Status of Findings / Verification'})","frozenset({'Recommendations / Remediation Guidance', 'Tools & Automation', 'Severity Model / Risk Classification', 'Documentation Quality', 'Methodology / Procedure', 'Executive Summary', 'System/Protocol Overview', 'Risk Taxonomy / Terminology & References', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Testing / Coverage Quality'})"
Methodology / Procedure; Threat / Trust Model; Upgradeability / Governance Controls,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Scope; Severity Model / Risk Classification; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,1,"frozenset({'Upgradeability / Governance Controls', 'Threat / Trust Model', 'Methodology / Procedure'})","frozenset({'Tools & Automation', 'Severity Model / Risk Classification', 'Documentation Quality', 'Detailed Findings', 'Executive Summary', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
Methodology / Procedure; Privileged Roles & Centralisation Risks; Timeline / Engagement Details,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Recommendations / Remediation Guidance; Risk Taxonomy / Terminology & References; Scope; Severity Model / Risk Classification; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation; Upgradeability / Governance Controls,1,"frozenset({'Privileged Roles & Centralisation Risks', 'Timeline / Engagement Details', 'Methodology / Procedure'})","frozenset({'Recommendations / Remediation Guidance', 'Tools & Automation', 'Severity Model / Risk Classification', 'Documentation Quality', 'Detailed Findings', 'Upgradeability / Governance Controls', 'Executive Summary', 'Risk Taxonomy / Terminology & References', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
Versioning & References; Detailed Findings; Risk Taxonomy / Terminology & References,Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Severity Model / Risk Classification; Status of Findings / Verification; System/Protocol Overview; Testing / Coverage Quality; Tools & Automation,1,"frozenset({'Detailed Findings', 'Versioning & References', 'Risk Taxonomy / Terminology & References'})","frozenset({'Recommendations / Remediation Guidance', 'Tools & Automation', 'Severity Model / Risk Classification', 'Documentation Quality', 'Methodology / Procedure', 'Executive Summary', 'System/Protocol Overview', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
Methodology / Procedure; Privileged Roles & Centralisation Risks; Upgradeability / Governance Controls,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Recommendations / Remediation Guidance; Risk Taxonomy / Terminology & References; Scope; Severity Model / Risk Classification; Status of Findings / Verification; Testing / Coverage Quality; Timeline / Engagement Details; Tools & Automation,1,"frozenset({'Upgradeability / Governance Controls', 'Privileged Roles & Centralisation Risks', 'Methodology / Procedure'})","frozenset({'Recommendations / Remediation Guidance', 'Tools & Automation', 'Severity Model / Risk Classification', 'Timeline / Engagement Details', 'Documentation Quality', 'Detailed Findings', 'Executive Summary', 'Risk Taxonomy / Terminology & References', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
Methodology / Procedure; Risk Taxonomy / Terminology & References; Upgradeability / Governance Controls,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Privileged Roles & Centralisation Risks; Recommendations / Remediation Guidance; Scope; Severity Model / Risk Classification; Status of Findings / Verification; Testing / Coverage Quality; Timeline / Engagement Details; Tools & Automation,1,"frozenset({'Upgradeability / Governance Controls', 'Methodology / Procedure', 'Risk Taxonomy / Terminology & References'})","frozenset({'Privileged Roles & Centralisation Risks', 'Recommendations / Remediation Guidance', 'Tools & Automation', 'Severity Model / Risk Classification', 'Timeline / Engagement Details', 'Documentation Quality', 'Detailed Findings', 'Executive Summary', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
Versioning & References; Severity Model / Risk Classification; Limitations / Disclaimers / Non-Goals,Detailed Findings; Documentation Quality; Executive Summary; Methodology / Procedure; Recommendations / Remediation Guidance; Risk Taxonomy / Terminology & References; Scope; Status of Findings / Verification; System/Protocol Overview; Testing / Coverage Quality; Tools & Automation,1,"frozenset({'Limitations / Disclaimers / Non-Goals', 'Severity Model / Risk Classification', 'Versioning & References'})","frozenset({'Recommendations / Remediation Guidance', 'Tools & Automation', 'Documentation Quality', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'System/Protocol Overview', 'Risk Taxonomy / Terminology & References', 'Scope', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
Versioning & References; Severity Model / Risk Classification; Documentation Quality,Detailed Findings; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Risk Taxonomy / Terminology & References; Scope; Status of Findings / Verification; System/Protocol Overview; Testing / Coverage Quality; Tools & Automation,1,"frozenset({'Documentation Quality', 'Severity Model / Risk Classification', 'Versioning & References'})","frozenset({'Recommendations / Remediation Guidance', 'Tools & Automation', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'System/Protocol Overview', 'Risk Taxonomy / Terminology & References', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
Versioning & References; Severity Model / Risk Classification; Testing / Coverage Quality,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Risk Taxonomy / Terminology & References; Scope; Status of Findings / Verification; System/Protocol Overview; Tools & Automation,1,"frozenset({'Severity Model / Risk Classification', 'Versioning & References', 'Testing / Coverage Quality'})","frozenset({'Recommendations / Remediation Guidance', 'Tools & Automation', 'Documentation Quality', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'System/Protocol Overview', 'Risk Taxonomy / Terminology & References', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Status of Findings / Verification'})"
Versioning & References; Severity Model / Risk Classification; Risk Taxonomy / Terminology & References,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Status of Findings / Verification; System/Protocol Overview; Testing / Coverage Quality; Tools & Automation,1,"frozenset({'Severity Model / Risk Classification', 'Versioning & References', 'Risk Taxonomy / Terminology & References'})","frozenset({'Recommendations / Remediation Guidance', 'Tools & Automation', 'Documentation Quality', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'System/Protocol Overview', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
Versioning & References; Recommendations / Remediation Guidance; Status of Findings / Verification,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Risk Taxonomy / Terminology & References; Scope; Severity Model / Risk Classification; System/Protocol Overview; Testing / Coverage Quality; Tools & Automation,1,"frozenset({'Recommendations / Remediation Guidance', 'Versioning & References', 'Status of Findings / Verification'})","frozenset({'Tools & Automation', 'Severity Model / Risk Classification', 'Documentation Quality', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'System/Protocol Overview', 'Risk Taxonomy / Terminology & References', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Testing / Coverage Quality'})"
Versioning & References; Severity Model / Risk Classification; Status of Findings / Verification,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Risk Taxonomy / Terminology & References; Scope; System/Protocol Overview; Testing / Coverage Quality; Tools & Automation,1,"frozenset({'Severity Model / Risk Classification', 'Versioning & References', 'Status of Findings / Verification'})","frozenset({'Recommendations / Remediation Guidance', 'Tools & Automation', 'Documentation Quality', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'System/Protocol Overview', 'Risk Taxonomy / Terminology & References', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Testing / Coverage Quality'})"
Versioning & References; Severity Model / Risk Classification; Recommendations / Remediation Guidance,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Risk Taxonomy / Terminology & References; Scope; Status of Findings / Verification; System/Protocol Overview; Testing / Coverage Quality; Tools & Automation,1,"frozenset({'Recommendations / Remediation Guidance', 'Severity Model / Risk Classification', 'Versioning & References'})","frozenset({'Tools & Automation', 'Documentation Quality', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'System/Protocol Overview', 'Risk Taxonomy / Terminology & References', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
Versioning & References; Severity Model / Risk Classification; Detailed Findings,Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Risk Taxonomy / Terminology & References; Scope; Status of Findings / Verification; System/Protocol Overview; Testing / Coverage Quality; Tools & Automation,1,"frozenset({'Detailed Findings', 'Severity Model / Risk Classification', 'Versioning & References'})","frozenset({'Recommendations / Remediation Guidance', 'Tools & Automation', 'Documentation Quality', 'Methodology / Procedure', 'Executive Summary', 'System/Protocol Overview', 'Risk Taxonomy / Terminology & References', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
Versioning & References; Detailed Findings; Documentation Quality,Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Risk Taxonomy / Terminology & References; Scope; Severity Model / Risk Classification; Status of Findings / Verification; System/Protocol Overview; Testing / Coverage Quality; Tools & Automation,1,"frozenset({'Documentation Quality', 'Detailed Findings', 'Versioning & References'})","frozenset({'Executive Summary', 'Recommendations / Remediation Guidance', 'Tools & Automation', 'Severity Model / Risk Classification', 'Methodology / Procedure', 'Risk Taxonomy / Terminology & References', 'System/Protocol Overview', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
Versioning & References; Tools & Automation; Limitations / Disclaimers / Non-Goals,Detailed Findings; Documentation Quality; Executive Summary; Methodology / Procedure; Recommendations / Remediation Guidance; Risk Taxonomy / Terminology & References; Scope; Severity Model / Risk Classification; Status of Findings / Verification; System/Protocol Overview; Testing / Coverage Quality,1,"frozenset({'Tools & Automation', 'Limitations / Disclaimers / Non-Goals', 'Versioning & References'})","frozenset({'Recommendations / Remediation Guidance', 'Severity Model / Risk Classification', 'Documentation Quality', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'System/Protocol Overview', 'Risk Taxonomy / Terminology & References', 'Scope', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
Versioning & References; Tools & Automation; Documentation Quality,Detailed Findings; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Risk Taxonomy / Terminology & References; Scope; Severity Model / Risk Classification; Status of Findings / Verification; System/Protocol Overview; Testing / Coverage Quality,1,"frozenset({'Documentation Quality', 'Tools & Automation', 'Versioning & References'})","frozenset({'Recommendations / Remediation Guidance', 'Severity Model / Risk Classification', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'System/Protocol Overview', 'Risk Taxonomy / Terminology & References', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
Versioning & References; Tools & Automation; Testing / Coverage Quality,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Risk Taxonomy / Terminology & References; Scope; Severity Model / Risk Classification; Status of Findings / Verification; System/Protocol Overview,1,"frozenset({'Tools & Automation', 'Versioning & References', 'Testing / Coverage Quality'})","frozenset({'Recommendations / Remediation Guidance', 'Severity Model / Risk Classification', 'Documentation Quality', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'System/Protocol Overview', 'Risk Taxonomy / Terminology & References', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Status of Findings / Verification'})"
Versioning & References; Tools & Automation; Risk Taxonomy / Terminology & References,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Severity Model / Risk Classification; Status of Findings / Verification; System/Protocol Overview; Testing / Coverage Quality,1,"frozenset({'Tools & Automation', 'Versioning & References', 'Risk Taxonomy / Terminology & References'})","frozenset({'Recommendations / Remediation Guidance', 'Severity Model / Risk Classification', 'Documentation Quality', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'System/Protocol Overview', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
Versioning & References; Detailed Findings; Limitations / Disclaimers / Non-Goals,Documentation Quality; Executive Summary; Methodology / Procedure; Recommendations / Remediation Guidance; Risk Taxonomy / Terminology & References; Scope; Severity Model / Risk Classification; Status of Findings / Verification; System/Protocol Overview; Testing / Coverage Quality; Tools & Automation,1,"frozenset({'Detailed Findings', 'Limitations / Disclaimers / Non-Goals', 'Versioning & References'})","frozenset({'Executive Summary', 'Recommendations / Remediation Guidance', 'Tools & Automation', 'Severity Model / Risk Classification', 'Documentation Quality', 'Methodology / Procedure', 'Risk Taxonomy / Terminology & References', 'System/Protocol Overview', 'Scope', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
Versioning & References; Tools & Automation; Status of Findings / Verification,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Risk Taxonomy / Terminology & References; Scope; Severity Model / Risk Classification; System/Protocol Overview; Testing / Coverage Quality,1,"frozenset({'Tools & Automation', 'Versioning & References', 'Status of Findings / Verification'})","frozenset({'Recommendations / Remediation Guidance', 'Severity Model / Risk Classification', 'Documentation Quality', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'System/Protocol Overview', 'Risk Taxonomy / Terminology & References', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Testing / Coverage Quality'})"
Versioning & References; Tools & Automation; Recommendations / Remediation Guidance,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Risk Taxonomy / Terminology & References; Scope; Severity Model / Risk Classification; Status of Findings / Verification; System/Protocol Overview; Testing / Coverage Quality,1,"frozenset({'Tools & Automation', 'Recommendations / Remediation Guidance', 'Versioning & References'})","frozenset({'Severity Model / Risk Classification', 'Documentation Quality', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'System/Protocol Overview', 'Risk Taxonomy / Terminology & References', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
System/Protocol Overview; Threat / Trust Model; Privileged Roles & Centralisation Risks,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Severity Model / Risk Classification; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,1,"frozenset({'Privileged Roles & Centralisation Risks', 'Threat / Trust Model', 'System/Protocol Overview'})","frozenset({'Recommendations / Remediation Guidance', 'Tools & Automation', 'Severity Model / Risk Classification', 'Documentation Quality', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
Versioning & References; Status of Findings / Verification; Documentation Quality,Detailed Findings; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Risk Taxonomy / Terminology & References; Scope; Severity Model / Risk Classification; System/Protocol Overview; Testing / Coverage Quality; Tools & Automation,1,"frozenset({'Documentation Quality', 'Versioning & References', 'Status of Findings / Verification'})","frozenset({'Recommendations / Remediation Guidance', 'Tools & Automation', 'Severity Model / Risk Classification', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'System/Protocol Overview', 'Risk Taxonomy / Terminology & References', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Testing / Coverage Quality'})"
Versioning & References; Detailed Findings; Recommendations / Remediation Guidance,Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Risk Taxonomy / Terminology & References; Scope; Severity Model / Risk Classification; Status of Findings / Verification; System/Protocol Overview; Testing / Coverage Quality; Tools & Automation,1,"frozenset({'Detailed Findings', 'Recommendations / Remediation Guidance', 'Versioning & References'})","frozenset({'Executive Summary', 'Tools & Automation', 'Severity Model / Risk Classification', 'Documentation Quality', 'Methodology / Procedure', 'Risk Taxonomy / Terminology & References', 'System/Protocol Overview', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
System/Protocol Overview; Versioning & References; Tools & Automation,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Risk Taxonomy / Terminology & References; Scope; Severity Model / Risk Classification; Status of Findings / Verification; Testing / Coverage Quality,1,"frozenset({'Tools & Automation', 'Versioning & References', 'System/Protocol Overview'})","frozenset({'Recommendations / Remediation Guidance', 'Severity Model / Risk Classification', 'Documentation Quality', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'Risk Taxonomy / Terminology & References', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
Scope; Threat / Trust Model; Upgradeability / Governance Controls,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Severity Model / Risk Classification; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,1,"frozenset({'Upgradeability / Governance Controls', 'Threat / Trust Model', 'Scope'})","frozenset({'Tools & Automation', 'Severity Model / Risk Classification', 'Documentation Quality', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'Limitations / Disclaimers / Non-Goals', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
System/Protocol Overview; Versioning & References; Status of Findings / Verification,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Risk Taxonomy / Terminology & References; Scope; Severity Model / Risk Classification; Testing / Coverage Quality; Tools & Automation,1,"frozenset({'Status of Findings / Verification', 'Versioning & References', 'System/Protocol Overview'})","frozenset({'Recommendations / Remediation Guidance', 'Tools & Automation', 'Severity Model / Risk Classification', 'Documentation Quality', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'Risk Taxonomy / Terminology & References', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Testing / Coverage Quality'})"
System/Protocol Overview; Versioning & References; Recommendations / Remediation Guidance,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Risk Taxonomy / Terminology & References; Scope; Severity Model / Risk Classification; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,1,"frozenset({'Recommendations / Remediation Guidance', 'Versioning & References', 'System/Protocol Overview'})","frozenset({'Tools & Automation', 'Severity Model / Risk Classification', 'Documentation Quality', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'Risk Taxonomy / Terminology & References', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
System/Protocol Overview; Versioning & References; Detailed Findings,Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Risk Taxonomy / Terminology & References; Scope; Severity Model / Risk Classification; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,1,"frozenset({'Detailed Findings', 'Versioning & References', 'System/Protocol Overview'})","frozenset({'Recommendations / Remediation Guidance', 'Tools & Automation', 'Severity Model / Risk Classification', 'Documentation Quality', 'Methodology / Procedure', 'Executive Summary', 'Risk Taxonomy / Terminology & References', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
Versioning & References; Testing / Coverage Quality; Documentation Quality,Detailed Findings; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Risk Taxonomy / Terminology & References; Scope; Severity Model / Risk Classification; Status of Findings / Verification; System/Protocol Overview; Tools & Automation,1,"frozenset({'Documentation Quality', 'Versioning & References', 'Testing / Coverage Quality'})","frozenset({'Recommendations / Remediation Guidance', 'Tools & Automation', 'Severity Model / Risk Classification', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'System/Protocol Overview', 'Risk Taxonomy / Terminology & References', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Status of Findings / Verification'})"
Severity Model / Risk Classification; Privileged Roles & Centralisation Risks; Upgradeability / Governance Controls,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Risk Taxonomy / Terminology & References; Scope; Status of Findings / Verification; Testing / Coverage Quality; Timeline / Engagement Details; Tools & Automation,1,"frozenset({'Upgradeability / Governance Controls', 'Privileged Roles & Centralisation Risks', 'Severity Model / Risk Classification'})","frozenset({'Recommendations / Remediation Guidance', 'Tools & Automation', 'Timeline / Engagement Details', 'Documentation Quality', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'Risk Taxonomy / Terminology & References', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
Severity Model / Risk Classification; Privileged Roles & Centralisation Risks; Timeline / Engagement Details,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Risk Taxonomy / Terminology & References; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation; Upgradeability / Governance Controls,1,"frozenset({'Privileged Roles & Centralisation Risks', 'Severity Model / Risk Classification', 'Timeline / Engagement Details'})","frozenset({'Recommendations / Remediation Guidance', 'Tools & Automation', 'Documentation Quality', 'Detailed Findings', 'Upgradeability / Governance Controls', 'Methodology / Procedure', 'Executive Summary', 'Risk Taxonomy / Terminology & References', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
System/Protocol Overview; Versioning & References; Severity Model / Risk Classification,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Risk Taxonomy / Terminology & References; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,1,"frozenset({'Severity Model / Risk Classification', 'Versioning & References', 'System/Protocol Overview'})","frozenset({'Recommendations / Remediation Guidance', 'Tools & Automation', 'Documentation Quality', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'Risk Taxonomy / Terminology & References', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
Severity Model / Risk Classification; Recommendations / Remediation Guidance; Upgradeability / Governance Controls,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Privileged Roles & Centralisation Risks; Risk Taxonomy / Terminology & References; Scope; Status of Findings / Verification; Testing / Coverage Quality; Timeline / Engagement Details; Tools & Automation,1,"frozenset({'Upgradeability / Governance Controls', 'Recommendations / Remediation Guidance', 'Severity Model / Risk Classification'})","frozenset({'Privileged Roles & Centralisation Risks', 'Tools & Automation', 'Timeline / Engagement Details', 'Documentation Quality', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'Risk Taxonomy / Terminology & References', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
Scope; Threat / Trust Model; Timeline / Engagement Details,Detailed Findings; Documentation Quality; Executive Summary; Findings Summary (Table); Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Status of Findings / Verification; System/Protocol Overview; Testing / Coverage Quality; Tools & Automation,1,"frozenset({'Threat / Trust Model', 'Timeline / Engagement Details', 'Scope'})","frozenset({'Recommendations / Remediation Guidance', 'Tools & Automation', 'Documentation Quality', 'Detailed Findings', 'Findings Summary (Table)', 'Methodology / Procedure', 'Executive Summary', 'System/Protocol Overview', 'Limitations / Disclaimers / Non-Goals', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
Versioning & References; Risk Taxonomy / Terminology & References; Testing / Coverage Quality,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Severity Model / Risk Classification; Status of Findings / Verification; System/Protocol Overview; Tools & Automation,1,"frozenset({'Versioning & References', 'Testing / Coverage Quality', 'Risk Taxonomy / Terminology & References'})","frozenset({'Recommendations / Remediation Guidance', 'Tools & Automation', 'Severity Model / Risk Classification', 'Documentation Quality', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'System/Protocol Overview', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Status of Findings / Verification'})"
